127.0.0.1, 2023-03-11 15:55:37, GET, /runestone/static/js/bootstrap-table/bootstrap-table.min.js, HTTP/1.1, 200, 0.001262
127.0.0.1, 2023-03-11 15:55:37, GET, /runestone/static/js/bootstrap-table/bootstrap-table-editable.min.js, HTTP/1.1, 200, 0.000974
127.0.0.1, 2023-03-11 15:55:37, GET, /runestone/static/js/bootstrap-table/bootstrap-table-reorder-rows.js, HTTP/1.1, 200, 0.000256
127.0.0.1, 2023-03-11 15:55:37, GET, /runestone/static/js/bootstrap-table/jquery.tablednd.js, HTTP/1.1, 200, 0.000837
127.0.0.1, 2023-03-11 15:55:37, GET, /runestone/static/js/bootstrap-table/bootstrap-editable/js/bootstrap-editable.js, HTTP/1.1, 200, 0.002221
127.0.0.1, 2023-03-11 15:55:37, POST, /runestone/ajax/set_tz_offset, HTTP/1.1, 200, 0.032993
127.0.0.1, 2023-03-11 15:55:37, GET, /runestone/admin/get_assignment, HTTP/1.1, 200, 0.052098
127.0.0.1, 2023-03-11 15:55:39, GET, /runestone/admin/grading, HTTP/1.1, 200, 0.092359
127.0.0.1, 2023-03-11 15:55:39, GET, /ns/books/published/overview/_static/637.0fa6cababf056764.css, HTTP/1.1, 404, 0.000384
127.0.0.1, 2023-03-11 15:55:39, GET, /ns/books/published/overview/_static/runestone.3eb60bc006ae9a54.css, HTTP/1.1, 404, 0.000207
127.0.0.1, 2023-03-11 15:55:39, GET, /ns/books/published/overview/_static/637.d54be67956c5c660.bundle.js, HTTP/1.1, 404, 0.000506
127.0.0.1, 2023-03-11 15:55:39, GET, /ns/books/published/overview/_static/runestone.ecc6dff5cad8b815.bundle.js, HTTP/1.1, 404, 0.000265
127.0.0.1, 2023-03-11 15:55:39, GET, /ns/books/published/overview/_static/runtime.0d64a5199ae36cbe.bundle.js, HTTP/1.1, 404, 0.000205
127.0.0.1, 2023-03-11 15:55:39, GET, /runestone/static/js/assignment_table.js, HTTP/1.1, 200, 0.000709
127.0.0.1, 2023-03-11 15:55:39, GET, /runestone/static/js/select2.multi-checkboxes.js, HTTP/1.1, 200, 0.000528
127.0.0.1, 2023-03-11 15:55:39, GET, /runestone/static/css/select2.multi-checkboxes.css, HTTP/1.1, 200, 0.000603
127.0.0.1, 2023-03-11 15:55:39, POST, /runestone/ajax/set_tz_offset, HTTP/1.1, 200, 0.029747
